"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 22:09:46 IST 2024","Wed Jun 19 22:09:53 IST 2024","7481","Google Chrome","usePageObjects.spec.ts","","","","parametrized methods {tag : @integration}",""
"passed","Wed Jun 19 22:09:39 IST 2024","Wed Jun 19 22:09:46 IST 2024","7050","Google Chrome","usePageObjects.spec.ts","","","","navigate to form page {tag : @smoke}",""
